iter	Passed	Remaining
0	0	93
1	1	87
2	2	83
3	3	84
4	4	82
5	5	82
6	6	81
7	6	79
8	7	78
9	8	76
10	9	76
11	10	75
12	11	74
13	12	73
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	67
21	18	66
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	24	61
28	24	60
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	36	49
42	36	49
43	37	47
44	38	46
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	45	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
